Syria,Damascus,syrian,syrians,Assad
Siria,Damasco,sirio,sirios,Assad
Syrien,Damaskus,syrisch,syrians,Assad
Syrië,Damascus,Syrisch,Syriërs,Assad
Syrie,Damas,syrien,Syrie,Assad
Siria,Damasco,siriano,siriani,Assad
Сирия,Дамаск,сириец,сирийцы,Асад
syrien,Damaskus,syriansk,syrianer,Assad
Síria,Damasco,sírio,sírios,Assad
سوريا,دمشق,سوري,السوريين,أسد
Syrien,Damaskus,syriske,syrere,Assad
Syria,Damaskus,syriske,syrere,Assad
Syria,Damaszek,syryjski,Syryjczycy,Assad
Syria,Damascus,Syria,Syriaid,Assad
Süüria,Damaskus,Süüria,süürlased,Assad
Siria,Damasc,sirian,sirienii,Assad
Suriye,Şam,Suriye,Suriyeliler,Esad
Szíria,Damaszkusz,szír,szírek,Assad
Syyria,Damaskos,syyrialainen,syyrialaiset,Assad
Sirija,Damask,Sirijac,Sirijci,Assad
Συρία,Δαμάσκο,σύριος,Σύριοι,Άσαντ
Síria,Damasc,sirià,sirians,Assad
Siria,Damascus,sirian,sirianët,Assad
Սիրիան,Դամասկոսը,սիրիացի,սիրիացիներ,Ասադը
Suriya,Damascus,Suriya,Suriyalılar,Əsəd
Сірыя,Дамаск,сірыец,сірыйцы,Асад
Sirija,Damask,sirijski,Sirijci,assad
Сирия,Дамаск,сирийски,сирийци,Асад
Sýrie,Damašek,Syřan,Syřané,Assad
სირიაში,დამასკოში,სირიის,სირიელები,ასადმა
Sýrland,Damascus,Syrian,Sýrlendingar,Assad
Sīrija,Damaska,Sīrijas,sīrieši,Assad
Sirija,Damaskas,Sirijos,sirai,Assado
Сирија,Дамаск,Сирија,Сиријците,Асад
Сирија,Дамаск,сиријски,Сиријци,Асад
Sýria,Damask,sýrsky,Sýrčania,Assad
Sirija,Damask,Sirski,Sirci,Assad
Сирія,Дамаск,сирієць,сирійці,Асад
